station_key,date,month,day_of_week,public_holiday,school_holiday,daily_total,volume,hour,full_name,road_functional_hierarchy,lga,latitude,longitude,crash_count,crash_severity_sum,crash_injury_sum,crash_fatal_count,crash_wet_count
55306,2022-04-28 00:00:00+00,4,4,False,False,40311,232.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-04-29 00:00:00+00,4,5,False,False,41760,283.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,8,5,1,1
55306,2022-04-30 00:00:00+00,4,6,False,False,36714,716.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-01 00:00:00+00,5,7,False,False,31948,866.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,6,11,6,0,1
55306,2022-05-02 00:00:00+00,5,1,False,False,37043,236.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,2,0,0
55306,2022-05-03 00:00:00+00,5,2,False,False,39537,206.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-04 00:00:00+00,5,3,False,False,40295,213.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-05 00:00:00+00,5,4,False,False,41051,332.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-06 00:00:00+00,5,5,False,False,42203,303.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,4,0,0
55306,2022-05-07 00:00:00+00,5,6,False,False,40562,728.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,5,4,0,1
55306,2022-05-08 00:00:00+00,5,7,False,False,35367,910.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,6,11,6,0,1
55306,2022-05-09 00:00:00+00,5,1,False,False,36482,232.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,2,0,0
55306,2022-05-10 00:00:00+00,5,2,False,False,39427,186.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-11 00:00:00+00,5,3,False,False,38792,251.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-12 00:00:00+00,5,4,False,False,39468,266.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-13 00:00:00+00,5,5,False,False,40219,341.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,4,0,0
55306,2022-05-14 00:00:00+00,5,6,False,False,37849,658.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,5,4,0,1
55306,2022-05-15 00:00:00+00,5,7,False,False,28148,862.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,6,11,6,0,1
55306,2022-05-16 00:00:00+00,5,1,False,False,36721,227.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,2,0,0
55306,2022-05-17 00:00:00+00,5,2,False,False,39359,187.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-18 00:00:00+00,5,3,False,False,40427,227.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-19 00:00:00+00,5,4,False,False,40859,236.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-20 00:00:00+00,5,5,False,False,40332,307.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,2,4,4,0,0
55306,2022-05-21 00:00:00+00,5,6,False,False,35008,636.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,5,4,0,1
55306,2022-05-22 00:00:00+00,5,7,False,False,30231,912.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,6,11,6,0,1
55306,2022-05-23 00:00:00+00,5,1,False,False,35357,225.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,2,0,0
55306,2022-05-24 00:00:00+00,5,2,False,False,38001,191.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-05-25 00:00:00+00,5,3,False,False,40221,208.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
