station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,5565,72,98
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,18849,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,PM PEAK,6284,9,95
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,9654,72,99
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,42132,-1,-1
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,AM PEAK,3027,84,95
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,ALL DAYS,12373,83,99
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,WEEKENDS,12350,-1,-1
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,OFF PEAK,6270,84,100
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,PM PEAK,3125,84,98
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,10915,61,100
55432,3022,COUNTER,EAST,UNCLASSIFIED,2019,WEEKDAYS,12422,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,PUBLIC HOLIDAYS,29303,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,AM PEAK,684,53,96
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,OFF PEAK,21473,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,WEEKDAYS,43174,-1,-1
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,WEEKENDS,18222,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,WEEKENDS,34745,-1,-1
56602,100001,PRESCRIBED,SOUTH,LIGHT VEHICLES,2019,OFF PEAK,9489,56,94
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,OFF PEAK,19199,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,PUBLIC HOLIDAYS,447,12,87
56602,100001,PRESCRIBED,SOUTH,ALL VEHICLES,2019,PUBLIC HOLIDAYS,15316,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,PM PEAK,426,43,95
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,PUBLIC HOLIDAYS,14915,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,ALL DAYS,1756,34,97
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,WEEKENDS,17198,-1,-1
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,WEEKENDS,17859,-1,-1
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,ALL DAYS,20808,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,PM PEAK,10621,-1,-1
56602,100001,COUNTER,NORTH,HEAVY VEHICLES,2019,OFF PEAK,1120,37,96
56602,100001,PRESCRIBED AND COUNTER,BOTH,ALL VEHICLES,2019,ALL DAYS,41515,-1,-1
56602,100001,PRESCRIBED AND COUNTER,BOTH,LIGHT VEHICLES,2019,WEEKDAYS,38893,-1,-1
56602,100001,PRESCRIBED,SOUTH,HEAVY VEHICLES,2019,OFF PEAK,1154,37,95
56602,100001,COUNTER,NORTH,ALL VEHICLES,2019,WEEKDAYS,21726,-1,-1
56602,100001,COUNTER,NORTH,LIGHT VEHICLES,2019,AM PEAK,5331,69,96
